input_text,references,generated_summary
" The “secular stagnation” thesis is having a bad year. Readers will recall that this idea, popularized by former Obama White House economist Larry Summers, held that America is fated to endure slow economic growth. This conveniently justified the Obama era’s historic slow growth as an inevitable deus ex machina, and Mr. Summers’s policy advice was for government to borrow more money to spend on public works.\nA year after the Obama economists left town, stagnation may be following them back to Harvard. The Commerce Department... ","['According to Larry Summers\' ""secular stagnation"" argument, the United States would have persistently poor economic growth. This idea promoted greater public works borrowing and offered an explanation for the Obama administration\'s slow growth. Recent changes at the Commerce Department suggest that signals of stagnation may be returning a year after the Obama economists left.']"," According to the article, the ""secular stagnation"" thesis, which suggests that the US economy is destined to experience slow growth, is having a poor year. This idea was popularized by former Obama White House economist Larry Summers, who argued that the government should borrow more money to spend on public works to address the issue. However, a year after the Obama administration left office, the economy is not supporting this thesis, as the Commerce Department has reported that economic growth is not as slow as previously thought."
"BRUSSELS, Jan 10 (Reuters) - Belgium’s D‘Ieteren wants 35-40 percent of its vehicle sales to be electric vehicles by 2025, the head of its car sales division has told Belgian business daily L‘Echo.\nD‘Ieteren, which sells cars and parts of Volkswagen brands including Skoda, Audi and Lamborghini in Belgium, has a more ambitious target than the German group which wants electrified vehicles to be a quarter of deliveries by 2025.\n“In Belgium, particularly in Flanders and Brussels, the (short) driving distances are very suitable for electric,” D‘Ieteren Auto chief Denis Gorteman told L‘Echo, adding that the high percentage of people living in houses, rather than apartments, meant it was easier for them to charge vehicles.\nGorteman said that to achieve the target Belgium needed to invest in the sector and have policies that encouraged electric vehicle use, although he said the sector was not looking for subsidies.\nVolkswagen approved in November a 34 billion euro ($40.6 billion) spending plan to accelerate its efforts to become a global leader in electric cars.\nAs well as selling cars, D‘Ieteren also has a division repairing and replacing windshields and owns notebook maker Moleskine. ($1 = 0.8372 euros) (Reporting by Philip Blenkinsop; editing by Robert-Jan Bartunek)\nOur Standards: The Thomson Reuters Trust Principles.',","[""D'Ieteren of Belgium plans to sell 35-40% of its vehicles as electric by 2025, exceeding Volkswagen's objective of a quarter. Denis Gorteman, CEO of D'Ieteren Auto, remarked that Belgium's low travel distances and large percentage of population living in houses (facilitating charging) make it ideal for electric vehicles. Rather than subsidies, achieving this goal will necessitate sector investment and supportive legislation. Volkswagen has announced a 34 billion euro plan to further its electric vehicle efforts. D'Ieteren is also active in windshield services and owns Moleskine, in addition to car sales.""]"," D'Ieteren, a car sales company in Belgium, aims to have 35-40% of its vehicle sales be electric vehicles by 2025, which is more ambitious than the target set by its parent company Volkswagen. The company believes that the short driving distances in Belgium and the high percentage of people living in houses make it an ideal market for electric vehicles. The company's CEO, Denis Gorteman, stated that achieving this target will require investment and policies that encourage electric vehicle use, but they are not seeking subsidies. This comes as Volkswagen has approved a $40.6 billion spending plan to accelerate its efforts to become a global leader in electric cars."
"CHENNAI, India (Thomson Reuters Foundation) - Tamil Nadu state must compensate the parents of a girl who was electrocuted to death in a textile mill where they worked as bonded laborers, India’s human rights panel has ordered.\nThursday’s order highlights the plight of millions of people working as virtual slaves to repay debts throughout India, including Tamil Nadu where the textile industry is concentrated, campaigners said.\n“Many are trapped in bondage in spinning mills in the region,” said Thangavel Maran of the charity Vizhuthugal (Roots), which took the case to the National Human Rights Commission (NHRC).\n“Nobody knows them and it is only when an incident like this happens that the cases come out,” he said. “It is the industry’s dirty secret.”\nEmployers often hold children to ensure that their parents return when they travel home for weddings or funerals.\nKarunaiyammal and Balasubramani Bathran said they were forced to leave their six-year-old daughter, Nalini, at the factory while they went home for a day trip in 2014.\n“We left early in the morning and by the time we came back in the evening, she had died,” said Balasubramani.\n“They said she had accidentally touched a live wire,” he told the Thomson Reuters Foundation by phone. “No other explanation was given and no help was offered.”\nIndia banned bonded labor in 1976 but it remains widespread across brick kilns, rice mills and other industries.\nMany bonded laborers are essentially enslaved, as they work to pay off heavy debts that are compounded by interest and shady accounting practices. Activists say they often end up paying 10 times the amount borrowed.\nEmployers commonly restrict the freedom of movement of bonded laborers, forcing them to live within the premises of their work site.\nAt the time of their child’s death, the Bathrans had been working for nearly two years to pay off a loan of 60,000 Indian rupees ($942).\nThe NHRC has instructed the Tamil Nadu government to recognize that the couple were in bondage and to compensate them according to the law.\nSome 500,000 manual laborers in 11 industries in Tamil Nadu, including the multi billion dollar textile industry, are trapped in debt bondage, according to the International Justice Mission, an anti-slavery organization.\nReporting by Anuradha Nagaraj, Editing by Jared Ferrie; Please credit the Thomson Reuters Foundation, the charitable arm of Thomson Reuters, that covers humanitarian news, women's rights, trafficking and climate change. Visit www.trust.org\n "",","[""The National Human Rights Commission (NHRC) has ordered the state of Tamil Nadu to pay the parents of a girl who died as a result of electrocution in a textile mill where they were bonded labour. This case throws light on the prevalent issue of debt bondage in India, particularly in the textile industry in Tamil Nadu. Many people are stuck in spinning mills in similar circumstances, often unreported. Despite India's ban on bonded labor since 1976, it continues to exist in a variety of industries. Bonded laborers are restricted in their movements and subjected to severe conditions in order to repay inflated debts. The parents in this case had been working for two years to repay a loan. The NHRC has ordered the Tamil Nadu government to recognize their bondage status and compensate them accordingly.""]"," The National Human Rights Commission (NHRC) has ordered the government of Tamil Nadu to compensate the parents of a girl who was electrocuted to death in a textile mill where they worked as bonded laborers. The incident highlights the plight of millions of people working as virtual slaves to repay debts throughout India, including Tamil Nadu where the textile industry is concentrated. The couple had been working for nearly two years to pay off a loan of 60,000 Indian rupees ($942) and had left their six-year-old daughter at the factory while they went home for a day trip in 2014. The NHRC has instructed the Tamil Nadu government to recognize that the couple were in bondage and to compensate them according to the law. The textile industry in Tamil Nadu is a multi-billion dollar industry and it is estimated that 500,000 manual laborers in 11 industries in the state, including the textile industry, are trapped in debt bondage."
"January 5, 2018 / 1:20 PM / Updated 34 minutes ago BRIEF-Reading International Provides Update On Nevada District Court Ruling Regarding Derivative Lawsuit Reuters Staff \nJan 5 (Reuters) - Reading International Inc: \n* READING INTERNATIONAL PROVIDES UPDATE ON NEVADA DISTRICT COURT RULING REGARDING DERIVATIVE LAWSUIT \n* READING INTERNATIONAL - ON DEC. 28, JUDGE ORDERED DISMISSING CLAIMS AGAINST 5 OF CO‘S DIRECTORS IN THE COTTER JR. DERIVATIVE LITIGATION \n* READING INTERNATIONAL-ON DEC 29, DIRECTORS WHO WERE DISMISSED FROM CASE, VOTED TO RATIFY 2015 TERMINATION OF JAMES COTTER, JR., AS CEO & PRESIDENT\u200b \n* READING INTERNATIONAL - COURT DISMISSED DERIVATIVE CLAIMS ON INDICATION OF INTEREST MADE BY PATTON VISION LLC TO ACQUIRE OUTSTANDING STOCK OF CO \n* READING INTERNATIONAL - \u200dREMAINING UNRESOLVED CLAIMS ASSERTED IN COTTER JR. DERIVATIVE LITIGATION HAVE BEEN SET FOR TRIAL COMMENCING ON JAN 8, 2018\u200b Source text for Eikon: Further company coverage:","[""On December 28, a district court judge in Nevada dismissed complaints in the Cotter Jr. derivative case against five Reading International Inc. directors. On December 29, the directors who had been fired voted to approve James Cotter, Jr.'s termination as CEO & President in 2015. The court's decision to reject the derivative claims was influenced by Patton Vision LLC's expressed interest in acquiring the company's outstanding stock. The Cotter Jr. derivative litigation's unresolved claims will be tried beginning on January 8, 2018.""]"," Reading International Inc. has provided an update on the Nevada District Court ruling regarding the derivative lawsuit. The court has dismissed claims against five of the company's directors, including James Cotter, Jr., who was terminated as CEO and President in 2015. The remaining unresolved claims have been set for trial commencing on January 8, 2018. The court also dismissed derivative claims on indication of interest made by Patton Vision LLC to acquire outstanding stock of the company."
"BEIJING (Reuters) - Growth in China’s manufacturing sector unexpectedly picked up to a four-month high in December as factories cranked up production to meet a surge in new orders, a private business survey showed on Tuesday.\nA production line is seen inside a factory of Saic GM Wuling, in Liuzhou, Guangxi Zhuang Autonomous Region, China, June 19, 2016. REUTERS/Norihiko Shirouzu/Files The reading suggested surprising resilience in the world’s second-largest economy at the end of the year, though it was somewhat at odds with a much larger official survey on Sunday that pointed to a slight loss of momentum.\nThe Caixin/Markit Manufacturing Purchasing Manager’s Index (PMI) rose to 51.5 last month, from 50.8 in November, and far outpacing economists’ expectations for a slight dip to 50.6.\nThe 50-mark divides expansion from contraction on a monthly basis.\nAnalysts have expected some softening in China’s manufacturing activity as a punishing crackdown on air pollution, a cooling property market and higher borrowing costs all start to weigh on the world’s second-largest economy.\nThat view appeared to be borne out by the official data at the weekend which suggested that production expanded in December at a slightly more modest pace.\nBut Caixin’s findings showed output grew at the fastest pace in three months, bolstered by improving demand.\nTotal new orders at home and from abroad rose at the strongest pace since August, with the sub-index jumping to 53.0 in December from 51.8 the previous month.\nThe Caixin survey tends to focus on small and mid-sized firms which are believed to be more export-oriented.\nWhile the official data pointed to a wobble in production, it also showed a pickup in overseas orders which should help support China’s exporters in the next few months.\nPRICE PRESSURES However, despite the increase in new work, the Caixin survey indicated manufacturers continued to shed staff in December and input costs continued to rise sharply, largely due to higher prices for raw materials.\nCompanies were able to pass on some of those cost increases to customers, suggesting broader inflationary pressures may intensify in China this year. The official data pointed to even stronger price rises.\nChina’s vast industrial sector has reported strong earnings growth this year thanks to a year-long construction boom that has fuelled demand and prices for building materials.\nBut government measures to tame rising housing prices and high debt levels are starting to weigh on property investment, while the boost from a massive infrastructure spree is starting to fade.\nBeijing’s war on winter smog has also disrupted manufacturing activity.\nSome steel mills, smelters and factories in the north have been forced to curtail or halt production, though plants in other parts of the country may be ramping up production to fill the shortfall and gain more market share.\nDespite the pickups in output and new orders, however, the Caixin survey showed business confidence in the 12-month outlook remained weak by historical standards. Respondents cited forecasts of relatively subdued client demand and changes to national policies, though no more details were provided.\n“Manufacturing operating conditions improved in December, reinforcing the notion that economic growth has stabilized in 2017 and has even performed better than expected,” Zhengsheng Zhong, director of macroeconomic analysis at CEBM Group, said in a note accompanying the Caixin release.\n”However, we should not underestimate downward pressure on growth due to tightening monetary policy and strengthening oversight on local government financing.”\nAnalysts have widely expected China will report slightly cooler economic growth in the fourth quarter after a forecast-beating 6.9 percent expansion in the first nine months of the year, supported by the construction boom and robust exports.\nSources have told Reuters that Chinese leaders are likely to stick with a growth target of around 6.5 percent for 2018, the same as last year, even as they ratchet up efforts to prevent a destabilising build-up of debt.\nReporting by Lusha Zhang and Elias Glenn; Editing by Kim Coghill\n","[""According to a private industry survey, China's manufacturing sector unexpectedly experienced growth in December that rose to a four-month high, spurred by expanded production to satisfy growing orders. The second-largest economy in the world's resiliency defied a broader official poll that showed a small loss of momentum. The Caixin/Markit Manufacturing Purchasing Manager's Index (PMI), which measures the strength of demand, increased to 51.5, exceeding forecasts. Despite this encouraging trend, the poll also noted persistent issues like labor reduction and rising input costs, which could exacerbate inflationary pressures in China.""]"," According to the Caixin/Markit Manufacturing Purchasing Manager's Index (PMI), China's manufacturing sector unexpectedly picked up in December, with a reading of 51.5, up from 50.8 in November and exceeding economists' expectations of a slight dip to 50.6. The increase in output was driven by a surge in new orders, both domestically and abroad, which rose at the strongest pace since August. Despite the increase in new work, manufacturers continued to shed staff and input costs continued to rise sharply, mainly due to higher raw material prices. The survey also showed business confidence in the 12-month outlook remained weak by historical standards. The reading suggests that China's economy may have stabilized in 2017 and even performed better than expected, but downward pressure on growth due to tightening monetary policy and strengthening oversight on local government financing should not be underestimated."
"A Brooklyn federal judge criticized President Donald Trump’s comments about Latino immigrants as “vicious” and “extremely volatile” during court arguments Tuesday over whether to stop the Trump administration from rescinding protections for undocumented immigrants who entered the U.S. as children.\nIn a 90-minute hearing, U.S. District Judge Nicholas Garaufis, an appointee of President Bill Clinton, repeatedly denounced Mr. Trump’s previous comments about Latinos, saying they were “incendiary” and often “completely erroneous.”\n... RELATED VIDEO What to Expect From the Dreamers Debate Senate Democrats agreed to reopen the government on Monday after it was shuttered over the weekend, in return for a promise to both debate and then vote on a plan in the Senate to give Dreamers a path to legal status. WSJ's Gerald F. Seib explains what may be next for an immigration bill. Photo: Getty To Read the Full Story Subscribe Sign In"",","['U.S. District Judge Nicholas Garaufis, nominated by President Bill Clinton, blasted President Donald Trump\'s remarks about Latino immigrants during a court session in Brooklyn. They were described by him as ""vicious"" and ""extremely volatile."" The judge went on to call Trump\'s comments ""incendiary"" and frequently ""completely erroneous."" The session focused on whether to block the Trump administration from eliminating protections for undocumented immigrants who arrived in the United States as minors.']"," A federal judge in Brooklyn criticized President Trump's comments about Latino immigrants as ""vicious"" and ""extremely volatile"" during a court hearing regarding the Trump administration's plan to rescind protections for undocumented immigrants who entered the US as children. The judge, Nicholas Garaufis, an appointee of President Bill Clinton, also denounced Trump's previous comments about Latinos, calling them ""incendiary"" and often ""completely erroneous."""
"Jay-Z is honored with The Recording Academy's President Merit Award 9:06am EST - 01:59 \nJay-Z makes peace with Grammys as he is honoured at Clive Davis party. Rough Cut (No reporter narration) ▲ Hide Transcript ▶ View Transcript \nJay-Z makes peace with Grammys as he is honoured at Clive Davis party. Rough Cut (No reporter narration) Press CTRL+C (Windows), CMD+C (Mac), or long-press the URL below on your mobile device to copy the code https://reut.rs/2nlgYuu","[""The Recording Academy's President Merit Award has been presented to Jay-Z. In addition, he was honored at a Clive Davis party, indicating a reunion with the Grammys. This honor recognizes Jay-Z's substantial contributions to the music business.""]", Jay-Z was honored with The Recording Academy's President Merit Award at Clive Davis's party. This comes after Jay-Z had previously boycotted the Grammys due to a lack of diversity in the nominees and winners. The President Merit Award is given to individuals who have made significant contributions to the music industry. Jay-Z has had a successful career in music and has also been recognized for his work as a businessman and entrepreneur.
"South Korean hospital fire kills 19 people, around 50 injured - fire official, media',
   'text': 'January 26, 2018 / 1:29 AM / Updated 6 hours ago South Korean hospital blaze kills at least 37, fleeing patients brave flames Christine Kim 6 Min Read \nMIRYANG, South Korea (Reuters) - Once famous for an award-winning film of the same name, the South Korean city of Miryang became a scene of horror on Friday as flames and toxic smoke swept through a hospital, killing at least 37 people and injuring more than 140. \nSouth Korea’s deadliest fire in almost a decade followed one last month that killed 29 people, reviving concern over safety standards, as the hospital director said current law did not require the building to have a sprinkler system. \n“So many lives were sacrificed and the people of our city, as well as those throughout the country, have fallen into deep grief,” the city’s mayor, Park Il-ho, told reporters, appearing visibly distressed. \nMany patients “walked though fire and smoke” to escape from the Sejong Hospital as the main exit was on the first floor, which was ablaze, a city official told Reuters. \nThose on upper floors used ladders and plastic escape slides to flee, while firefighters carried some who could not walk. \n“I saw the elderly patients scrambling out through the windows and had to help,” said Woo Young-min, 25, as he stood in his pyjamas outside the hospital. \nThe presidential Blue House initially said the number of dead was at least 41, but deferred to a toll of 37 from the fire chief of Miryang, which is about 270 km (170 miles) southeast of Seoul, the capital, and home to about 108,000 people. \nFire officials posted a list of at least 26 victims outside the hospital, their ages ranging from 34 to 96 years, with at least a score over 70. \nFamilies crowded round a handwritten list of names and hospital rooms that officials had scrawled on a wall at a nearby funeral home. \nThe fire broke out around 7.30 a.m. (2230 GMT) at the rear of the emergency room on the hospital’s first floor, fire official Choi Man-woo told a televised news briefing. \nThe street outside the hospital featured in the 2007 South Korean drama “Miryang,” or “Secret Sunshine,” which garnered awards at Cannes and other film festivals. \nBut on Friday, witnesses described scenes of chaos in the sub-freezing temperatures, as nearby residents rushed to take portable hotpacks to shivering victims. \nWoo said he was walking home after working a graveyard shift when he saw the fire and patients trying to escape the blaze. \n“The firefighters were shouting at us not to go inside the building, so I stayed and helped others bring the patients down the slides.” \nTelevision broadcast images of black smoke billowing from the windows and entrance of the hospital as flames flickered. \nAt least 177 patients - most of them elderly - were at the hospital and an adjacent nursing home when the fire broke out, hospital director Song Byeong-cheol told reporters. \nSong said three of the nine hospital staff on duty at the time died, including at least one doctor, a nurse, and a nurse’s aide, all killed on the second floor. A firefighter walks out of a burnt hospital in Miryang, South Korea, January 26, 2018. Kim Dong-min/Yonhap via REUTERS \nMost of those who died were on the first and second floors, said Choi, but added that there were no deaths from burns. \nSeven people were critically injured, while 126 had less serious wounds, officials told a Friday evening briefing. \nThe injured were treated at 14 regional hospitals. \nBy Friday afternoon, police had cordoned off the burnt-out hospital, as forensic investigators combed the smoke-blackened building. Charred debris and shattered glass littered the ground outside. NO SPRINKLER SYSTEM \nAsia’s fourth-largest economy, with one of the world’s fastest ageing populations, South Korea has faced criticism in recent years over inadequate safety standards. Slideshow (5 Images) \nSong said the six-storey hospital did not have a sprinkler system and was not large enough to require one under the law. \nThe nursing home annexe, where no patients died, is covered by a new law, however, and Song said the hospital had planned to begin installing a sprinkler system there next week. \nHealth Minister Park Neung-hoo said the government would consider changing the law. \nInterior ministry guidelines published in December 2016 suggest sprinklers for all buildings of six or more storeys. \nOfficials said they were still investigating the cause of the fire, but were looking at a possible short circuit in the emergency room’s heating and cooling system. \n“According to an initial eyewitness, fire broke out where there are two air-conditioning and heating devices in the emergency room,” Song said. \n“Others said an electric spark occurred on the ceiling of the emergency room and then fire spread quickly.” \nThe hospital had regular safety inspections and was built to government standards, with fire exits and extinguishers, many of which were used during the fire, he added. \nPresident Moon Jae-in held an emergency meeting with top aides and urged “all necessary measures” to help survivors. \nInterior Minister Kim Boo-kyum, who visited Miryang to apologise for the fire, promised government help for victims, Yonhap news agency said. \nIn December, 29 people were killed in a blaze at an eight-storey fitness centre in Jecheon City, most of them women trapped in a sauna by toxic fumes. The event fed anger over reports of shoddy construction, among other shortcomings. \nIn 2014, a fire at a rural hospital killed 21 people, while a 2008 warehouse fire outside Seoul killed 40. Reporting by Christine Kim; Additional reporting Yuna Park, Dahee Kim and Hyonhee Shin; Writing by Josh Smith; Editing by Simon Cameron-Moore and Clarence Fernandez","[""At least 37 people have died and more than 140 have been injured as a result of a terrible fire that erupted in a hospital in Miryang, South Korea. Due to the hospital's lack of a sprinkler system, the tragedy brought attention to safety concerns and raised doubts about South Korea's safety laws. Initial ideas suggest that the emergency room's heating and cooling system may have had a short circuit, while the exact cause of the incident is still being investigated.""]"," At least 37 people were killed and over 140 injured in a fire that broke out at a hospital in Miryang, South Korea. The fire started in the emergency room and spread quickly, with many patients escaping through windows and ladders. The hospital did not have a sprinkler system, which is not required by law for buildings of its size. The cause of the fire is still under investigation, but a possible short circuit in the heating and cooling system is being looked at. The president has called for all necessary measures to help survivors and the government has promised support for victims. This incident has raised concerns over safety standards in South Korea, which has faced criticism in recent years over inadequate safety measures."
"TAMPA, Fla.--(BUSINESS WIRE)-- Masonite International Corporation (NYSE:DOOR) today announced that it has completed the acquisition of DW3 Products Holding Limited (“DW3”), a leading UK provider of high quality premium door solutions and window systems, supplying products under brand names such as Solidor, Residor, Nicedor, and Residence. Solidor utilizes a leading online offering, including a door designer and a specialized online portal, which allows trade customers to specify and purchase products online.\nDW3 employs approximately 300 people located in Stoke-on-Trent and Gloucester, England. DW3’s net sales for the twelve months ended December 2017 were approximately £45 million. The purchase price for all of DW3’s outstanding shares was approximately £70 million, net of cash acquired and subject to customary post-closing adjustments.\n“DW3 fits exceptionally well with Masonite’s existing business in the UK,” said Tony Hair, Masonite’s President, Global Residential. “Their online quick ship capabilities and product portfolio both complement and expand the strategies we are pursuing in this important market.”\n“DW3’s products and service model are a natural addition to Masonite’s business, and Masonite is an excellent cultural fit for our company,” said Gareth Mobley, CEO of DW3. “We are excited about the opportunities this will bring our employees and customers.”\nMasonite expects the acquisition to be immediately accretive to adjusted EBITDA margin and adjusted EPS in 2018. DW3 is Masonite’s eighth acquisition in the last four years, and the fourth in the UK during that period.\nAbout Masonite\nMasonite International Corporation is a leading global designer and manufacturer of interior and exterior doors for the residential new construction; the residential repair, renovation and remodeling; and the non-residential building construction markets. Since 1925, Masonite has provided its customers with innovative products and superior service at compelling values. Masonite serves more than 7,000 customers in 65 countries. Additional information about Masonite can be found at www.masonite.com .\nForward-looking Statements\nThis press release may contains forward-looking information and other forward-looking statements within the meaning of applicable Canadian and/or U.S. securities laws, including information related to the expected financial impact of the acquisition of DW3 Products Holding Limited. When used in this press release, such forward-looking statements may be identified by the use of such words as “may,” might, “could,” “will,” would,” “should,” “expect,” “believes,” “outlook,” “predict,” “forecast,” “objective,” “remain,” “anticipate,” “estimate,” “potential,” “continue,” “plan,” “project,” “targeting,” or the negative of these terms or other similar terminology. Forward-looking statements involve significant known and unknown risks, uncertainties and other factors that may cause the actual results, performance or achievements of Masonite, or industry results, to be materially different from any future plans, goals, targets, objectives, results, performance or achievements expressed or implied by such forward-looking statements. As a result, such forward-looking statements should not be read as guarantees of future performance or results, should not be unduly relied upon, and will not necessarily be accurate indications of whether or not such results will be achieved. Factors that could cause actual results to differ materially from the results discussed in the forward-looking statements include, but are not limited to, our ability to successfully integrate the products, employees and operations of DW3, as well as the ability to ensure continued performance of DW3's products; the potential that the expected benefits and opportunities of the transaction may not be realized or may take longer to realize than expected; general economic, market and business conditions; competition; increases in the costs of raw materials or any shortage in supplies; the actions by, and the continued success of, certain key customers; our ability to maintain relationships with certain customers; retention of key management personnel; and other factors publicly disclosed by the company in its Form 10-K for fiscal 2016 and subsequent 10-Qs filed with the SEC.\nView source version on businesswire.com : http://www.businesswire.com/news/home/20180130005258/en/\nMasonite International Corporation\nJoanne Freiberger, CPA, CTP, IRC, 813-739-1808\nVP, TREASURER\njfreiberger@masonite.com\nor\nBrian Prenoveau, CFA, 813-371-5839\nDIR. INVESTOR RELATIONS\nbprenoveau@masonite.com\nSource: Masonite International Corporation"",","[""Masonite International Corporation has finalized the acquisition of DW3 Products Holding Limited, a leading producer of premium door solutions and window systems in the United Kingdom. In England, DW3, recognized for names such as Solidor, Residor, Nicedor, and Residence, employs roughly 300 people. Masonite anticipates that this purchase will immediately improve adjusted EBITDA margins and adjusted EPS in 2018. This is Masonite's ninth acquisition in the previous four years, and its fourth in the United Kingdom. The product line of DW3 complements Masonite's business strategies in the UK market.""]"," Masonite International Corporation, a leading global designer and manufacturer of interior and exterior doors, has acquired DW3 Products Holding Limited, a UK-based provider of high-quality premium door solutions and window systems. The acquisition is expected to be immediately accretive to adjusted EBITDA margin and adjusted EPS in 2018. DW3 employs approximately 300 people and has net sales of approximately £45 million for the twelve months ended December 2017. The purchase price for all of DW3's outstanding shares was approximately £70 million, net of cash acquired and subject to customary post-closing adjustments. This acquisition is Masonite's eighth acquisition in the last four years and the fourth in the UK during that period."
"RICHMOND, Va.--(BUSINESS WIRE)-- NewMarket Corporation (NYSE: NEU) announced today it will release fourth quarter 2017 and year-end earnings at the close of business on Tuesday, February 6. The earnings announcement will also be available on the company’s website at www.NewMarket.com beginning Wednesday, February 7. A conference call and Internet webcast is scheduled for 9:00 a.m. EST on Wednesday, February 7, 2018 to review fourth quarter and year-end 2017 financial results.\nYou can access the conference call live by dialing 1-877-407-9210 (domestic) or 1-201-689-8049 (international) and requesting the NewMarket conference call. To avoid delays, callers should dial in five minutes early. A teleconference replay of the call will be available until February 14, 2018 at 11:59 p.m. EST by dialing 1-877-481-4010 (domestic) and 1-919-882-2331 (international). The replay ID number is 23857.\nThe call will also be broadcast via the Internet and can be accessed through the Company’s website at www.NewMarket.com or www.investorcalendar.com . A webcast replay will be available for 30 days.\nNewMarket Corporation, through its subsidiaries, Afton Chemical Corporation and Ethyl Corporation, develops, manufactures, blends, and delivers chemical additives that enhance the performance of petroleum products. From custom-formulated additive packages to market-general additives, the NewMarket family of companies provides the world with the technology to make engines run smoother, machines last longer, and fuels burn cleaner.\nView source version on businesswire.com : http://www.businesswire.com/news/home/20180110006035/en/\nNewMarket Corporation\nInvestor Relations\nBrian D. Paliotti, 804-788-5555\nFax: 804-788-5688\ninvestorrelations@NewMarket.com\nSource: NewMarket Corporation","[""NewMarket Corporation (NYSE: NEU) is set to release its fourth quarter 2017 and year-end earnings on February 6. The announcement will be accessible on the company's website from February 7. A conference call and webcast is scheduled for February 7 at 9:00 a.m. EST to discuss the financial results. Access to the call can be obtained by dialing 1-877-407-9210 (domestic) or 1-201-689-8049 (international) and requesting the NewMarket conference call. A replay of the call will be available until February 14. NewMarket Corporation specializes in developing and delivering chemical additives that enhance petroleum product performance.""]"," NewMarket Corporation (NYSE: NEU) will release its fourth quarter and year-end 2017 earnings at the close of business on Tuesday, February 6, and will host a conference call and webcast on Wednesday, February 7 at 9:00 a.m. EST to review the financial results. The call can be accessed by dialing 1-877-407-9210 (domestic) or 1-201-689-8049 (international) and requesting the NewMarket conference call. A teleconference replay will be available until February 14, 2018, and a webcast replay will be available for 30 days. NewMarket Corporation develops, manufactures, blends, and delivers chemical additives that enhance the performance of petroleum products through its subsidiaries, Afton Chemical Corporation and Ethyl Corporation.

Output:
NewMarket Corporation will release its fourth quarter and year-end 2017 earnings on Tuesday, February "
